Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45-54,No,Travel_Frequently,500 - 1000,Research & Development,10 - 20 km,4,Life Sciences,1,450,4,Female,<40,3,2,Research Scientist,3,Single,"< 5,000",16885,> 5 years,Y,No,12,3,4,80,0,20,4,2,3 - 5 years,3,0,3
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,451,3,Female,40 - 70,3,3,Healthcare Representative,1,Married,"5,000 - 10,000",9262,> 5 years,Y,No,16,3,1,80,1,10,1,2,< 2 years,0,0,0
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Other,1,452,4,Male,> 70,3,2,Research Scientist,4,Married,"< 5,000",9278,> 5 years,Y,No,14,3,1,80,2,12,3,3, 6 - 12 years,9,9,8
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Medical,1,453,2,Male,40 - 70,1,2,Sales Executive,4,Married,"5,000 - 10,000",13273,> 2 ,Y,Yes,22,4,3,80,3,6,2,2,3 - 5 years,3,0,2
25-34,Yes,Travel_Rarely,below 500,Research & Development,< 10 km,4,Other,1,454,2,Male,> 70,1,1,Laboratory Technician,1,Married,"< 5,000",4759,> 2 ,Y,Yes,11,3,4,80,0,7,4,2, 6 - 12 years,7,0,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,5,Other,1,455,2,Male,<40,2,1,Laboratory Technician,4,Single,"< 5,000",7621,> 2 ,Y,No,17,3,3,80,0,4,2,3,3 - 5 years,2,2,2
25-34,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Marketing,1,456,4,Female,<40,2,2,Sales Executive,3,Divorced,"5,000 - 10,000",5431,> 2 ,Y,No,13,3,3,80,3,10,2,3, 6 - 12 years,9,1,2
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Marketing,1,458,2,Female,40 - 70,3,2,Sales Executive,2,Married,"5,000 - 10,000",3415,> 2 ,Y,No,18,3,1,80,1,8,3,3, 6 - 12 years,7,0,7
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Medical,1,460,4,Male,40 - 70,3,2,Manufacturing Director,4,Divorced,"5,000 - 10,000",23177,> 5 years,Y,No,16,3,3,80,2,8,2,2, 6 - 12 years,2,0,4
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,2,Life Sciences,1,461,3,Male,> 70,2,3,Research Director,4,Divorced,">10,000",15682,> 2 ,Y,Yes,14,3,2,80,1,12,3,3, 6 - 12 years,10,2,9
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Medical,1,462,3,Female,<40,3,3,Manufacturing Director,4,Single,"5,000 - 10,000",25713,> 2 ,Y,Yes,14,3,3,80,0,11,2,2, 6 - 12 years,9,4,10
25-34,No,Travel_Rarely,below 500,Sales,< 10 km,1,Marketing,1,463,4,Female,<40,2,2,Sales Executive,2,Divorced,"5,000 - 10,000",11866,> 2 ,Y,Yes,14,3,1,80,2,7,2,3, 6 - 12 years,7,1,7
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Technical Degree,1,464,3,Male,40 - 70,3,3,Manufacturing Director,2,Single,"5,000 - 10,000",18264,> 2 ,Y,No,13,3,4,80,0,17,5,3,> 12 years,6,0,13
<25,No,Travel_Rarely," >1,000",Research & Development,> 20km,1,Life Sciences,1,465,3,Male,> 70,3,1,Research Scientist,4,Divorced,"< 5,000",16092,> 2 ,Y,No,12,3,3,80,2,4,2,2,3 - 5 years,2,0,2
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,466,4,Male,> 70,2,2,Manufacturing Director,2,Single,"5,000 - 10,000",10110,> 5 years,Y,Yes,15,3,4,80,0,8,3,3,3 - 5 years,4,1,2
45-54,No,Travel_Frequently," >1,000",Sales,< 10 km,1,Medical,1,467,2,Male,> 70,3,2,Sales Representative,3,Single,"< 5,000",25751,> 5 years,Y,No,19,3,1,80,0,5,3,3,< 2 years,0,0,0
35-44,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,5,Life Sciences,1,468,1,Female,40 - 70,3,4,Research Director,4,Single,">10,000",15901,> 2 ,Y,No,14,3,2,80,0,16,2,3,< 2 years,0,0,0
25-34,No,Non-Travel,500 - 1000,Sales,< 10 km,3,Life Sciences,1,469,4,Male,40 - 70,3,2,Sales Executive,3,Married,"< 5,000",16928,> 2 ,Y,No,14,3,1,80,1,4,3,2,3 - 5 years,3,0,2
35-44,No,Travel_Rarely,500 - 1000,Human Resources,< 10 km,1,Technical Degree,1,470,3,Male,40 - 70,3,1,Human Resources,3,Divorced,"< 5,000",24017,> 2 ,Y,Yes,11,3,3,80,1,4,5,3,3 - 5 years,2,1,0
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,471,3,Female,> 70,3,1,Laboratory Technician,2,Married,"< 5,000",3956,> 2 ,Y,No,13,3,3,80,1,8,4,3, 6 - 12 years,0,0,7
45-54,No,Travel_Rarely,500 - 1000,Sales,> 20km,1,Medical,1,473,1,Female,> 70,3,3,Manager,3,Married,">10,000",23978,> 5 years,Y,No,21,4,2,80,1,15,3,1,< 2 years,0,0,0
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,474,3,Male,40 - 70,4,2,Research Scientist,1,Divorced,"5,000 - 10,000",17001,3 - 5 years,Y,Yes,13,3,1,80,2,13,2,3, 6 - 12 years,7,6,7
25-34,No,Non-Travel,500 - 1000,Sales,> 20km,2,Technical Degree,1,475,4,Female,> 70,3,2,Sales Executive,3,Married,"< 5,000",6069,> 5 years,Y,Yes,12,3,2,80,1,4,2,4,< 2 years,2,2,2
25-34,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Life Sciences,1,476,3,Male,40 - 70,3,2,Sales Executive,3,Married,"5,000 - 10,000",20156,> 2 ,Y,No,17,3,2,80,1,8,3,3, 6 - 12 years,7,7,7
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Other,1,477,1,Male,> 70,2,2,Healthcare Representative,4,Single,"5,000 - 10,000",17078,> 5 years,Y,No,23,4,2,80,0,14,6,3,< 2 years,0,0,0
<25,Yes,Travel_Frequently,500 - 1000,Sales,< 10 km,1,Technical Degree,1,478,1,Female,> 70,2,1,Sales Representative,2,Single,"< 5,000",9150,> 2 ,Y,Yes,11,3,3,80,0,3,3,3,3 - 5 years,2,1,2
35-44,No,Non-Travel,500 - 1000,Sales,< 10 km,5,Medical,1,479,4,Female,40 - 70,3,2,Sales Executive,4,Single,"5,000 - 10,000",15276,3 - 5 years,Y,No,15,3,2,80,0,7,6,3,< 2 years,0,0,0
35-44,No,Travel_Frequently,500 - 1000,Sales,< 10 km,4,Medical,1,481,1,Male,40 - 70,2,3,Sales Executive,4,Married,"5,000 - 10,000",7246,3 - 5 years,Y,No,11,3,1,80,1,16,2,3,> 12 years,9,1,12
>55,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Medical,1,482,4,Male,> 70,3,2,Healthcare Representative,3,Married,"5,000 - 10,000",2967,> 2 ,Y,No,11,3,3,80,0,15,2,3,3 - 5 years,2,1,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,483,4,Female,40 - 70,4,1,Laboratory Technician,3,Married,"< 5,000",22495,> 5 years,Y,Yes,13,3,3,80,1,10,3,3, 6 - 12 years,7,1,7
<25,No,Non-Travel,500 - 1000,Sales,< 10 km,2,Medical,1,484,1,Male,<40,3,1,Sales Representative,4,Single,"< 5,000",2851,> 2 ,Y,No,24,4,3,80,0,3,3,2,3 - 5 years,2,2,2
25-34,Yes,Travel_Rarely,below 500,Sales,< 10 km,3,Marketing,1,485,4,Female,<40,3,1,Sales Representative,3,Single,"< 5,000",9150,> 2 ,Y,Yes,13,3,2,80,0,1,2,3,< 2 years,0,0,0
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,486,3,Female,> 70,3,1,Laboratory Technician,1,Married,"< 5,000",17663,> 5 years,Y,No,20,4,2,80,1,17,3,3,3 - 5 years,4,0,3
45-54,No,Non-Travel," >1,000",Research & Development,< 10 km,4,Medical,1,487,3,Female,<40,3,2,Manufacturing Director,3,Married,"5,000 - 10,000",16044,> 2 ,Y,No,14,3,3,80,0,7,2,4,< 2 years,0,0,0
35-44,Yes,Travel_Frequently,below 500,Sales,< 10 km,3,Marketing,1,488,1,Male,40 - 70,3,2,Sales Executive,2,Single,"5,000 - 10,000",9558,> 2 ,Y,No,18,3,3,80,0,8,5,3, 6 - 12 years,7,7,7
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Technical Degree,1,491,4,Male,> 70,2,3,Healthcare Representative,4,Single,">10,000",2755,> 5 years,Y,No,15,3,4,80,0,20,2,3,3 - 5 years,3,1,3
35-44,Yes,Travel_Rarely,500 - 1000,Sales,> 20km,2,Marketing,1,492,3,Male,40 - 70,2,2,Sales Executive,3,Married,"5,000 - 10,000",6110,> 2 ,Y,Yes,12,3,1,80,2,8,6,3, 6 - 12 years,4,1,0
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Life Sciences,1,493,3,Male,40 - 70,2,1,Research Scientist,2,Single,"< 5,000",7551,> 2 ,Y,Yes,16,3,4,80,0,3,5,3,< 2 years,2,2,2
<25,Yes,Travel_Rarely,below 500,Sales,10 - 20 km,3,Life Sciences,1,494,3,Female,> 70,4,1,Sales Representative,2,Single,"< 5,000",25422,> 2 ,Y,No,15,3,4,80,0,1,0,3,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,> 20km,3,Life Sciences,1,495,4,Male,40 - 70,3,1,Research Scientist,4,Single,"< 5,000",18168,> 5 years,Y,No,16,3,4,80,0,6,4,3,3 - 5 years,2,1,2
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,496,3,Male,> 70,2,2,Healthcare Representative,2,Single,"5,000 - 10,000",19394,> 5 years,Y,No,19,3,3,80,0,10,5,3,< 2 years,1,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Medical,1,497,4,Male,> 70,3,1,Laboratory Technician,2,Divorced,"< 5,000",17881,> 2 ,Y,No,11,3,2,80,1,5,2,3,3 - 5 years,2,0,4
25-34,No,Travel_Rarely,below 500,Sales,< 10 km,4,Life Sciences,1,498,2,Male,> 70,3,2,Sales Executive,4,Single,"5,000 - 10,000",20750,> 2 ,Y,No,16,3,4,80,0,7,1,3, 6 - 12 years,5,0,7
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Other,1,499,2,Male,<40,2,3,Healthcare Representative,3,Single,">10,000",12066,> 5 years,Y,No,24,4,3,80,0,26,2,3,3 - 5 years,2,0,0
45-54,No,Travel_Rarely," >1,000",Sales,10 - 20 km,2,Life Sciences,1,500,3,Female,> 70,3,2,Sales Executive,4,Married,"< 5,000",14862,3 - 5 years,Y,No,11,3,3,80,1,18,2,2, 6 - 12 years,7,0,7
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,501,4,Female,> 70,3,1,Research Scientist,3,Married,"< 5,000",11868,3 - 5 years,Y,No,13,3,2,80,1,6,3,3,< 2 years,2,2,2
25-34,Yes,Non-Travel," >1,000",Sales,10 - 20 km,3,Marketing,1,502,1,Male,40 - 70,4,2,Sales Executive,4,Single,"5,000 - 10,000",4652,> 5 years,Y,Yes,13,3,2,80,0,9,3,2,3 - 5 years,2,0,4
>55,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,505,3,Female,> 70,3,4,Manager,4,Single,">10,000",23258,> 2 ,Y,Yes,13,3,3,80,0,30,2,3,3 - 5 years,4,1,2
<25,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Marketing,1,507,4,Female,> 70,3,2,Sales Executive,3,Divorced,"< 5,000",5915,> 2 ,Y,Yes,12,3,4,80,1,5,2,4,3 - 5 years,2,0,3
25-34,No,Travel_Rarely,below 500,Sales,< 10 km,1,Technical Degree,1,508,3,Male,> 70,3,1,Sales Representative,2,Married,"< 5,000",17434,> 2 ,Y,No,18,3,1,80,1,1,3,3,< 2 years,0,0,0
25-34,Yes,Travel_Frequently,500 - 1000,Research & Development,< 10 km,1,Technical Degree,1,510,3,Male,> 70,3,1,Research Scientist,1,Single,"< 5,000",6582,> 2 ,Y,No,22,4,3,80,0,7,2,3, 6 - 12 years,4,0,4
<25,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,3,Medical,1,511,1,Female,40 - 70,3,1,Research Scientist,2,Married,"< 5,000",24440,> 2 ,Y,No,13,3,4,80,1,2,1,3,< 2 years,1,1,2
35-44,No,Travel_Rarely,below 500,Sales,< 10 km,2,Medical,1,513,2,Male,40 - 70,2,3,Sales Executive,3,Married,"5,000 - 10,000",3809,> 2 ,Y,No,13,3,2,80,2,10,2,3, 6 - 12 years,9,9,0
25-34,Yes,Travel_Frequently,below 500,Research & Development,< 10 km,3,Technical Degree,1,514,3,Male,<40,3,1,Research Scientist,4,Single,"< 5,000",3427,> 5 years,Y,Yes,23,4,3,80,0,3,4,3,< 2 years,0,0,0
35-44,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Life Sciences,1,515,4,Female,> 70,3,1,Laboratory Technician,1,Divorced,"< 5,000",26914,> 2 ,Y,No,12,3,3,80,1,18,2,2,> 12 years,7,12,17
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,2,Marketing,1,516,4,Female,40 - 70,3,2,Sales Executive,2,Divorced,"5,000 - 10,000",22553,> 5 years,Y,No,12,3,3,80,2,8,5,3,3 - 5 years,4,1,3
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Life Sciences,1,517,2,Female,> 70,3,1,Laboratory Technician,1,Divorced,"< 5,000",20490,> 5 years,Y,No,16,3,2,80,1,8,5,3,3 - 5 years,2,1,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,518,3,Male,40 - 70,3,2,Manufacturing Director,2,Single,"< 5,000",21123,> 2 ,Y,Yes,12,3,4,80,0,18,2,2,< 2 years,0,0,1
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Life Sciences,1,520,1,Male,40 - 70,2,4,Research Director,2,Divorced,">10,000",4345,> 2 ,Y,No,11,3,3,80,1,25,3,3,> 12 years,10,3,9
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,521,2,Female,> 70,2,2,Laboratory Technician,3,Married,"< 5,000",13436,> 5 years,Y,No,22,4,2,80,1,20,3,3,< 2 years,0,0,0
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Medical,1,522,1,Male,> 70,3,5,Research Director,1,Married,">10,000",8509,3 - 5 years,Y,No,11,3,3,80,1,24,4,2,3 - 5 years,2,1,2
25-34,No,Non-Travel," >1,000",Sales,< 10 km,4,Marketing,1,523,3,Female,> 70,3,2,Sales Executive,3,Married,"5,000 - 10,000",12740,> 5 years,Y,No,15,3,1,80,1,6,3,3,3 - 5 years,2,1,2
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,524,2,Female,<40,3,2,Manufacturing Director,1,Married,"< 5,000",4156,> 2 ,Y,No,12,3,2,80,1,13,5,1,> 12 years,10,3,12
35-44,No,Travel_Frequently,below 500,Research & Development,> 20km,3,Medical,1,525,4,Male,40 - 70,3,1,Laboratory Technician,4,Married,"< 5,000",15238,> 5 years,Y,No,20,4,1,80,1,8,1,3,3 - 5 years,2,1,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Other,1,526,3,Female,> 70,3,2,Healthcare Representative,3,Divorced,"< 5,000",2227,3 - 5 years,Y,Yes,14,3,4,80,0,8,3,3,3 - 5 years,2,0,2
25-34,No,Travel_Rarely,500 - 1000,Sales,< 10 km,2,Life Sciences,1,527,2,Female,> 70,2,2,Sales Executive,4,Single,"< 5,000",12090,> 2 ,Y,Yes,11,3,2,80,0,5,3,3,3 - 5 years,4,1,3
35-44,No,Non-Travel," >1,000",Research & Development,> 20km,5,Medical,1,529,2,Female,> 70,3,2,Research Scientist,3,Married,"< 5,000",23866,> 5 years,Y,Yes,15,3,1,80,2,15,2,3,> 12 years,11,10,7
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Life Sciences,1,530,4,Male,> 70,2,1,Laboratory Technician,1,Married,"< 5,000",16193,> 2 ,Y,No,12,3,3,80,1,4,3,3,3 - 5 years,2,3,2
35-44,No,Travel_Frequently," >1,000",Research & Development,< 10 km,1,Life Sciences,1,531,2,Male,40 - 70,3,5,Manager,3,Divorced,">10,000",8213,> 2 ,Y,Yes,14,3,3,80,1,21,3,3,> 12 years,8,1,6
>55,No,Travel_Frequently,500 - 1000,Sales,< 10 km,3,Life Sciences,1,532,3,Female,> 70,4,4,Sales Executive,1,Married,">10,000",18256,> 5 years,Y,No,11,3,4,80,3,36,0,2, 6 - 12 years,7,7,7
25-34,No,Travel_Rarely," >1,000",Sales,10 - 20 km,3,Technical Degree,1,533,2,Female,> 70,3,2,Sales Executive,3,Single,"5,000 - 10,000",19558,> 2 ,Y,No,11,3,2,80,0,6,6,3,3 - 5 years,4,4,4
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Marketing,1,534,2,Male,40 - 70,4,3,Sales Executive,1,Married,"5,000 - 10,000",19566,> 2 ,Y,No,16,3,3,80,1,10,2,3, 6 - 12 years,7,0,7
25-34,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,2,Medical,1,536,3,Male,> 70,3,2,Laboratory Technician,1,Divorced,"< 5,000",13535,> 2 ,Y,No,12,3,4,80,1,10,2,3, 6 - 12 years,0,1,8
25-34,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,538,1,Male,> 70,3,1,Laboratory Technician,1,Married,"< 5,000",9396,3 - 5 years,Y,No,13,3,3,80,1,6,5,3,< 2 years,2,0,2
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,543,4,Male,<40,2,3,Manufacturing Director,3,Married,"5,000 - 10,000",19609,> 2 ,Y,Yes,14,3,3,80,0,28,4,3,3 - 5 years,4,0,4
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Life Sciences,1,544,1,Male,40 - 70,3,1,Research Scientist,4,Married,"< 5,000",9655,> 5 years,Y,No,21,4,4,80,2,8,3,2,< 2 years,2,0,2
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Life Sciences,1,546,4,Female,<40,3,4,Manager,4,Married,">10,000",10310,> 2 ,Y,No,13,3,4,80,0,31,2,1,3 - 5 years,2,1,4
35-44,No,Travel_Frequently,500 - 1000,Research & Development,> 20km,2,Life Sciences,1,547,1,Female,> 70,3,2,Research Scientist,3,Divorced,"< 5,000",12932,> 2 ,Y,No,11,3,2,80,1,19,3,3,3 - 5 years,4,0,2
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,548,3,Female,40 - 70,1,2,Manufacturing Director,4,Single,"5,000 - 10,000",24793,> 2 ,Y,No,20,4,3,80,0,11,2,3,3 - 5 years,4,0,2
>55,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,549,1,Female,40 - 70,3,5,Manager,1,Married,">10,000",3854,3 - 5 years,Y,No,11,3,4,80,0,33,5,1,> 12 years,8,11,10
45-54,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Medical,1,550,3,Female,> 70,3,2,Manufacturing Director,3,Divorced,"< 5,000",26314,> 2 ,Y,No,14,3,3,80,1,19,5,2, 6 - 12 years,7,0,8
35-44,No,Travel_Frequently," >1,000",Research & Development,> 20km,4,Technical Degree,1,551,4,Female,> 70,2,2,Healthcare Representative,4,Married,"< 5,000",4386,> 2 ,Y,No,11,3,4,80,3,7,4,4, 6 - 12 years,5,0,4
<25,Yes,Travel_Rarely," >1,000",Sales,< 10 km,1,Technical Degree,1,554,1,Female,40 - 70,3,1,Sales Representative,2,Single,"< 5,000",21972,> 2 ,Y,Yes,16,3,2,80,0,6,4,3,3 - 5 years,3,1,4
25-34,Yes,Travel_Frequently,below 500,Sales,< 10 km,2,Marketing,1,555,4,Female,<40,1,1,Sales Representative,3,Divorced,"< 5,000",12253,> 2 ,Y,No,16,3,4,80,1,3,3,2,< 2 years,2,1,0
35-44,No,Travel_Frequently," >1,000",Research & Development,< 10 km,2,Life Sciences,1,556,4,Male,40 - 70,3,1,Laboratory Technician,4,Married,"< 5,000",12106,> 2 ,Y,Yes,23,4,3,80,1,1,3,3,< 2 years,0,0,0
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Life Sciences,1,558,3,Female,> 70,3,5,Manager,3,Married,">10,000",13022,> 2 ,Y,No,14,3,4,80,0,21,2,3,> 12 years,15,1,12
25-34,No,Travel_Rarely," >1,000",Research & Development,> 20km,3,Life Sciences,1,560,1,Female,> 70,3,1,Research Scientist,4,Divorced,"< 5,000",3032,> 2 ,Y,No,22,4,2,80,2,3,3,1,3 - 5 years,2,0,2
25-34,No,Non-Travel," >1,000",Research & Development,< 10 km,3,Life Sciences,1,562,3,Male,40 - 70,3,1,Laboratory Technician,4,Married,"< 5,000",16734,3 - 5 years,Y,No,15,3,3,80,1,9,3,1,3 - 5 years,3,1,4
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Medical,1,564,2,Male,> 70,2,3,Research Director,3,Married,">10,000",21526,> 2 ,Y,No,18,3,3,80,0,10,2,3, 6 - 12 years,2,0,7
25-34,Yes,Travel_Rarely,below 500,Research & Development,> 20km,5,Technical Degree,1,565,3,Female,> 70,2,1,Research Scientist,2,Married,"< 5,000",18300,3 - 5 years,Y,No,16,3,2,80,0,6,2,4,< 2 years,2,1,1
<25,Yes,Travel_Rarely,below 500,Human Resources,< 10 km,2,Technical Degree,1,566,1,Male,40 - 70,2,1,Human Resources,4,Single,"< 5,000",18437,> 2 ,Y,No,12,3,3,80,0,1,3,4,< 2 years,0,0,0
25-34,No,Non-Travel," >1,000",Sales,> 20km,4,Other,1,567,3,Female,40 - 70,3,3,Sales Executive,1,Married,"5,000 - 10,000",2890,> 2 ,Y,No,11,3,3,80,0,10,3,3, 6 - 12 years,8,7,8
>55,No,Travel_Rarely,below 500,Sales,> 20km,3,Marketing,1,568,1,Male,40 - 70,2,4,Manager,4,Divorced,">10,000",22102,> 5 years,Y,No,12,3,3,80,1,32,3,2,< 2 years,0,0,0
45-54,No,Travel_Rarely," >1,000",Research & Development,> 20km,4,Life Sciences,1,569,2,Male,> 70,2,4,Manager,3,Married,">10,000",9314,> 2 ,Y,No,15,3,2,80,1,28,2,3,> 12 years,10,15,7
25-34,No,Non-Travel," >1,000",Research & Development,< 10 km,3,Medical,1,571,3,Female,40 - 70,3,1,Laboratory Technician,4,Single,"< 5,000",7181,> 2 ,Y,No,14,3,3,80,0,12,2,2, 6 - 12 years,7,6,7
>55,No,Travel_Frequently," >1,000",Sales,> 20km,3,Marketing,1,573,3,Female,> 70,2,3,Sales Executive,1,Married,">10,000",2845,3 - 5 years,Y,No,19,3,4,80,0,22,5,4,> 12 years,13,13,11
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Medical,1,574,1,Female,40 - 70,3,2,Manufacturing Director,4,Divorced,"5,000 - 10,000",7389,3 - 5 years,Y,No,13,3,3,80,3,20,2,3,3 - 5 years,0,0,4
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,575,1,Male,40 - 70,3,4,Research Director,3,Married,">10,000",2288,> 5 years,Y,No,13,3,3,80,0,26,2,1,3 - 5 years,2,0,1
35-44,No,Travel_Rarely,below 500,Research & Development,> 20km,3,Life Sciences,1,577,4,Male,40 - 70,1,1,Laboratory Technician,3,Single,"< 5,000",19225,> 2 ,Y,No,15,3,3,80,0,6,2,3,3 - 5 years,4,4,3
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,578,3,Female,40 - 70,3,2,Laboratory Technician,3,Single,"< 5,000",23428,> 5 years,Y,No,11,3,3,80,0,19,3,3,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,579,4,Male,40 - 70,2,1,Research Scientist,3,Divorced,"< 5,000",8416,> 5 years,Y,No,12,3,3,80,1,14,3,3, 6 - 12 years,3,5,7
45-54,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Marketing,1,580,3,Female,> 70,2,3,Sales Executive,4,Married,"5,000 - 10,000",11563,> 2 ,Y,Yes,19,3,3,80,1,15,3,3,3 - 5 years,2,1,2
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Life Sciences,1,581,3,Male,<40,3,3,Manufacturing Director,2,Divorced,">10,000",14394,> 2 ,Y,No,25,4,4,80,1,13,6,4,> 12 years,8,0,8
25-34,Yes,Travel_Rarely," >1,000",Research & Development,10 - 20 km,1,Medical,1,582,2,Male,40 - 70,3,3,Manager,3,Married,">10,000",24619,> 5 years,Y,Yes,12,3,4,80,0,15,2,4, 6 - 12 years,6,7,7
25-34,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Medical,1,584,1,Male,<40,1,1,Laboratory Technician,4,Divorced,"< 5,000",6705,> 5 years,Y,No,13,3,1,80,3,8,2,3,3 - 5 years,3,1,3
25-34,No,Travel_Rarely,below 500,Sales,< 10 km,1,Marketing,1,585,4,Male,40 - 70,3,1,Sales Representative,2,Single,"< 5,000",18398,> 2 ,Y,No,14,3,1,80,0,4,3,3,3 - 5 years,2,1,2
35-44,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Life Sciences,1,586,4,Male,> 70,3,3,Healthcare Representative,3,Married,"5,000 - 10,000",14295,3 - 5 years,Y,Yes,12,3,3,80,0,10,2,3, 6 - 12 years,7,0,0
25-34,Yes,Travel_Frequently,500 - 1000,Research & Development,10 - 20 km,3,Life Sciences,1,587,1,Male,40 - 70,3,3,Healthcare Representative,3,Married,"5,000 - 10,000",22908,> 5 years,Y,No,12,3,1,80,0,12,2,3,< 2 years,0,0,0
25-34,Yes,Travel_Frequently,500 - 1000,Human Resources,> 20km,3,Human Resources,1,590,2,Female,40 - 70,3,3,Human Resources,1,Divorced,"5,000 - 10,000",11533,> 5 years,Y,Yes,15,3,3,80,3,11,2,3,3 - 5 years,2,0,2
35-44,No,Travel_Frequently," >1,000",Research & Development,< 10 km,2,Other,1,591,2,Male,> 70,3,1,Laboratory Technician,3,Married,"< 5,000",9260,3 - 5 years,Y,No,17,3,4,80,1,8,4,3,< 2 years,2,2,0
35-44,No,Non-Travel,500 - 1000,Sales,< 10 km,4,Medical,1,592,2,Male,<40,3,3,Sales Executive,4,Single,"5,000 - 10,000",15318,> 2 ,Y,No,14,3,4,80,0,10,3,2, 6 - 12 years,3,9,7
<25,Yes,Travel_Frequently," >1,000",Research & Development,< 10 km,1,Technical Degree,1,593,3,Male,> 70,2,1,Laboratory Technician,3,Single,"< 5,000",9129,3 - 5 years,Y,No,16,3,3,80,0,4,3,3,< 2 years,2,1,2
